Age,Gender,num_coffeeBags_per_year,spent_week,spent_month,SlrAY,Distance,Online,Decision
24,Female,3,24,35,13354,2.059868489,0,
36,Male,3,55,201,57267,2.108992788,0,1.0
27,Male,3,38,103,35253,2.118430119,1,
18,Female,3,20,36,2717,2.228459592,1,
26,Female,3,36,105,44449,2.245882069,1,
21,Male,3,44,129,60208,2.259841976,1,1.0
58,Male,3,49,181,104829,2.382216411,0,
23,Female,3,58,186,63225,2.406568461,1,1.0
17,Male,3,45,119,3056,2.4559041880000000,1,
63,Female,3,47,141,83230,2.464243734,1,
28,Female,3,43,140,55089,2.4643048570000000,1,1.0
29,Male,3,18,22,10962,2.604549553,0,0.0
29,Male,3,38,121,40853,2.7663452670000000,0,1.0
21,Female,3,44,132,76686,2.803568556,1,
33,Male,3,29,114,63144,2.8651623180000000,0,1.0
24,Male,3,54,203,54862,2.886036358,0,1.0
22,Male,3,38,72,33984,2.891061802,0,1.0
35,Female,3,34,91,58655,2.9351776660000000,0,1.0
67,Female,3,0,62,26788,2.939527618,0,
32,Female,3,23,53,69394,3.00130053,0,
39,Male,3,41,163,77008,3.036677267,1,
22,Male,3,39,130,71302,3.067975152,0,
51,Female,3,30,49,31815,3.072476027,0,0.0
53,Male,3,32,111,35753,3.291513525,0,1.0
27,Female,3,55,180,43200,3.320412667,0,1.0
54,Male,3,28,102,65166,3.328346608,1,1.0
45,Female,3,42,120,36059,3.454760825,0,1.0
26,Female,3,40,153,65036,3.462770701,1,1.0
26,Female,3,48,170,41837,3.633549656,1,1.0
58,Female,3,22,78,35392,3.648800866,0,0.0
26,Male,3,34,87,55739,3.6641268340000000,0,1.0
21,Female,3,23,52,23136,3.822494944,0,
28,Male,3,51,196,66739,3.8395222510000000,1,1.0
57,Male,3,29,110,34655,3.943056398,0,1.0
25,Male,3,0,43,15247,3.9595087060000000,0,1.0
29,Male,3,22,71,30607,4.014700896,1,
38,Male,3,29,113,42825,4.18541677,0,
53,Male,3,39,102,41394,4.21612904,0,1.0
28,Male,3,36,119,75635,4.227771,1,1.0
24,Female,3,57,199,71559,4.3012871960000000,1,
59,Female,3,50,162,70621,4.530685452,0,
23,Female,3,53,185,41738,4.558833647,1,1.0
55,Female,3,0,25,11556,4.7098532760000000,1,
41,Female,3,0,0,13476,4.821167881,1,0.0
32,Female,3,0,0,20038,4.831927581,0,0.0
56,Female,3,30,54,21574,4.837411399,1,0.0
35,Male,3,24,38,18163,4.884646238,1,0.0
22,Female,3,21,76,46414,5.425349402,0,
26,Female,3,42,129,78879,5.570707727,1,
24,Female,3,32,95,54489,5.800766552000000,0,
25,Female,3,62,199,60001,5.829231043000000,0,1.0
26,Female,3,58,210,71091,6.004419403000000,1,1.0
50,Male,3,50,195,80515,6.0309747290000000,1,1.0
52,Male,3,24,57,21983,6.0711441,0,0.0
23,Female,3,26,103,37288,6.108822,0,1.0
30,Female,3,25,79,39066,6.115026233000000,0,0.0
45,Female,3,18,26,14514,6.154848105,0,0.0
23,Female,3,32,102,39662,6.319477143000000,0,
50,Male,3,52,187,48815,6.369973295,0,
28,Female,3,39,143,77037,6.413463193000000,0,1.0
34,Male,3,0,22,12187,6.4867734080000000,0,0.0
26,Male,3,29,106,43913,6.592655558,0,1.0
67,Female,3,27,40,28435,6.660143725,0,0.0
39,Female,3,0,0,11844,6.720263997000000,0,0.0
28,Female,3,25,99,34812,6.9022097460000000,0,0.0
48,Female,3,0,49,30538,6.910566605,0,
24,Female,3,20,25,12087,6.950939375,0,0.0
28,Male,3,25,77,30351,6.981226664000000,1,0.0
23,Male,3,41,128,40504,6.9864744090000000,1,
25,Male,3,53,202,49110,6.996626112,0,
29,Male,3,43,124,39716,7.044791492000000,1,1.0
45,Female,3,34,109,88458,7.10620757,1,1.0
51,Female,3,33,105,74508,7.208970432,0,1.0
25,Female,3,38,107,34859,7.261594162000000,1,1.0
63,Female,3,0,55,50303,7.4934078070000000,0,0.0
23,Female,3,34,105,39693,7.570852329,0,1.0
52,Male,3,17,51,66478,7.816531894,1,0.0
23,Female,3,46,162,63687,8.013970653,1,1.0
27,Male,3,34,104,31648,8.080057946,0,0.0
23,Male,3,46,165,50216,8.097775027,0,1.0
42,Male,3,33,113,76591,8.350390045,0,0.0
28,Male,3,55,209,64688,8.61340888,1,1.0
25,Female,3,0,38,16559,8.737107214,0,0.0
47,Female,3,0,0,7800,8.75700999,0,0.0
64,Male,3,19,71,29549,8.790611472,0,0.0
23,Male,3,16,44,39394,8.817631564,1,0.0
60,Female,3,43,132,74767,9.412240581,0,0.0
56,Female,3,40,121,44526,9.604676036,1,0.0
53,Female,3,0,40,22747,9.797133774,0,0.0
51,Male,3,32,105,67041,10.0166276,1,0.0
26,Female,3,37,118,39081,10.39961561,1,0.0
24,Male,3,38,142,17165,10.40409592,0,
56,Female,3,32,121,33081,10.47315623,1,0.0
26,Female,3,40,146,63908,10.65049976,0,1.0
29,Female,3,32,67,30217,10.73506609,0,0.0
33,Male,3,0,21,9886,10.74910227,0,0.0
27,Male,3,41,147,59533,10.76497465,0,1.0
50,Female,3,37,107,46992,10.77113767,0,0.0
23,Male,3,47,140,61478,10.86802448,1,1.0
25,Male,3,54,170,51644,10.87376333,1,1.0
23,Male,3,21,64,46526,10.91083942,1,0.0
22,Male,4,49,169,113924,0.008437153771000000,0,1.0
21,Male,4,33,101,64697,0.0250520261,0,
19,Female,4,41,118,15742,0.1589610232,1,
35,Male,4,54,191,60947,0.20883479990000000,1,
19,Male,4,47,173,15098,0.22217228950000000,1,1.0
23,Female,4,41,141,95147,0.2271703202,0,1.0
21,Male,4,26,38,22810,0.24530952950000000,1,1.0
35,Male,4,36,126,37262,0.27940917,1,1.0
19,Female,4,23,56,2868,0.4242428245,1,
43,Male,4,0,0,12323,0.47821381660000000,1,0.0
23,Male,4,61,198,74424,0.5517073055,1,1.0
25,Male,4,43,154,73258,0.5546689604,1,1.0
27,Male,4,33,118,76738,0.5673183706,1,
44,Female,4,46,118,44997,0.5906023027,1,1.0
20,Female,4,36,109,13005,0.6084343063000000,1,
56,Male,4,33,82,32352,0.6130104807,1,1.0
18,Female,4,35,99,14098,0.6963857384000000,1,1.0
23,Male,4,48,180,63144,0.7733165838000000,1,1.0
18,Male,4,27,53,3335,0.8346290360000000,1,1.0
21,Male,4,53,207,119258,0.8395001543,0,1.0
51,Female,4,31,92,44047,0.9402796675,1,1.0
28,Male,4,34,38,26288,1.0366529290000000,0,1.0
24,Female,4,24,35,14825,1.058947942,1,
19,Female,4,27,87,18240,1.101479825,1,
48,Male,4,49,157,39598,1.130362586,0,1.0
31,Female,4,45,149,76072,1.16052429,0,1.0
29,Male,4,40,116,33276,1.242161584,1,1.0
27,Male,4,49,147,43392,1.395552216,1,
25,Female,4,30,64,27511,1.423217983,0,1.0
24,Female,4,40,157,57644,1.456939206,1,1.0
49,Male,4,29,50,21388,1.621035762,0,1.0
17,Female,4,38,125,8126,1.723468063,1,1.0
34,Female,4,41,149,51047,1.7358570520000000,0,1.0
22,Female,4,0,68,20166,1.769157382,0,1.0
24,Male,4,25,53,21877,1.8179342720000000,0,1.0
17,Female,4,41,162,6226,1.8706663890000000,1,1.0
30,Male,4,40,150,84424,2.003489862,1,1.0
32,Female,4,44,120,50346,2.069168613,1,1.0
57,Male,4,22,38,31970,2.104352366,0,1.0
24,Male,4,35,103,65900,2.116199226,1,1.0
54,Female,4,0,0,25663,2.150340316,1,0.0
25,Male,4,57,182,76044,2.151196659,0,1.0
36,Male,4,0,57,33007,2.350635973,1,1.0
35,Female,4,62,210,53947,2.4851176270000000,0,1.0
24,Female,4,23,71,27804,2.507402035,1,1.0
59,Male,4,46,166,65514,2.509124645,1,
28,Male,4,46,160,46320,2.624516299,0,1.0
61,Female,4,0,40,29524,2.626625934,0,0.0
29,Male,4,50,151,58978,2.636297243,0,
22,Female,4,33,119,57353,2.68835766,0,
25,Male,4,30,70,31288,2.795201444,1,1.0
26,Male,4,37,142,47467,2.8090693260000000,0,1.0
20,Male,4,52,189,12683,2.85434847,1,
23,Female,4,23,75,35442,2.9534641980000000,0,1.0
67,Female,4,0,38,41227,3.087326721,0,
20,Female,4,42,137,12200,3.233024918,1,
33,Male,4,57,186,107686,3.328245804,1,
22,Male,4,42,160,72709,3.7110761880000000,1,
46,Male,4,0,35,15748,3.7765642540000000,1,
55,Male,4,36,142,46023,3.788256222,0,
28,Male,4,0,24,40574,3.833882361,1,
24,Female,4,53,195,62353,3.883044625,0,
43,Male,4,39,143,172658,3.970186185,1,1.0
23,Female,4,34,118,59454,3.988763108,0,
42,Male,4,48,154,41644,4.058064555,0,
53,Female,4,26,47,25890,4.279431283,1,0.0
27,Female,4,41,160,82515,4.454804233,0,1.0
54,Female,4,53,209,80366,4.479744329,0,1.0
50,Female,4,39,95,43914,4.580701197,1,
23,Female,4,41,149,45716,4.666931396,1,1.0
19,Male,4,37,84,14776,4.683312189,1,
23,Female,4,41,148,59993,4.815908091,1,1.0
23,Male,4,33,132,69269,4.8826190040000000,0,
55,Female,4,35,127,58253,5.052227071,0,1.0
50,Male,4,28,41,18898,5.059369543,1,0.0
62,Male,4,0,0,9122,5.159085535,1,
16,Male,4,0,0,8066,5.237103262,1,
22,Female,4,46,152,122458,5.2757852840000000,1,
39,Male,4,25,67,30336,5.287552294,1,
56,Female,4,60,192,47795,5.288899734,1,
48,Female,4,33,121,82091,5.4968336220000000,0,
40,Female,4,0,0,12635,5.502085392000000,1,
19,Female,4,44,132,14615,5.678315792,1,
32,Male,4,0,0,8107,5.683755668,1,0.0
64,Male,4,0,59,24891,5.751099963,1,
33,Female,4,30,51,17622,5.913396791,1,
46,Female,4,26,28,11387,5.922983996,0,0.0
16,Female,4,24,28,8788,5.971547854,1,
24,Male,4,0,0,12538,5.974700641,1,
55,Female,4,41,165,74001,6.198774159,0,1.0
54,Male,4,0,0,9248,6.2156366620000000,1,
30,Male,4,45,166,76182,6.262125563,0,1.0
28,Female,4,46,178,49986,6.2658708680000000,0,1.0
54,Male,4,49,147,48662,6.37744582,1,1.0
28,Female,4,0,29,31811,6.490826687,0,
46,Female,4,25,61,38559,6.514802297,1,
18,Female,4,28,81,4653,6.5337325140000000,1,
26,Female,4,35,109,49470,6.576735092000000,1,1.0
25,Male,4,33,103,58517,6.6733216640000000,0,1.0
35,Male,4,51,199,67176,6.748440124,1,
26,Male,4,18,24,11795,6.977641844,0,
28,Female,4,25,78,61394,7.175391115,1,0.0
30,Female,4,37,115,74707,7.212716777000000,0,1.0
28,Male,4,47,169,54356,7.537502897,0,1.0
30,Male,4,42,164,90621,7.568254439000000,0,
29,Female,4,48,176,56326,7.598203322000000,0,1.0
29,Male,4,50,199,89480,7.682391114,0,1.0
40,Female,4,29,66,27459,8.161523894,1,0.0
27,Female,4,51,186,47370,8.31469654,1,1.0
50,Male,4,44,166,72415,8.678895587000000,1,1.0
26,Male,4,49,191,70712,8.731732242,1,1.0
30,Male,4,31,120,82293,8.861159575,1,0.0
23,Female,4,37,146,57707,9.139699522,0,1.0
59,Male,4,30,112,69515,9.409150101,1,0.0
25,Female,4,23,67,37955,9.452802332000000,1,0.0
55,Male,4,19,66,30313,9.558484579,0,0.0
40,Female,4,25,95,71606,9.728073934,0,0.0
38,Female,4,17,22,11066,9.738271378,0,0.0
50,Female,4,23,58,25511,9.808361017000000,0,0.0
30,Female,4,41,148,79733,9.822799527,1,1.0
33,Female,4,38,54,31628,9.975487271,0,0.0
58,Male,4,31,121,35947,10.22458318,1,0.0
43,Female,4,40,137,45800,10.32127869,0,0.0
55,Male,4,39,134,77829,10.72254522,0,0.0
23,Male,5,18,57,26172,0.03689777071000000,1,
25,Male,5,53,173,68230,0.05795804252,1,1.0
16,Male,5,31,107,8822,0.07101700832,1,
28,Male,5,26,67,70144,0.1052640537,0,1.0
18,Female,5,38,135,4605,0.1199771859,1,1.0
21,Male,5,39,148,81582,0.19182723560000000,1,1.0
41,Female,5,54,167,49634,0.21059752210000000,0,1.0
28,Female,5,43,157,55394,0.23945834630000000,1,1.0
55,Male,5,0,36,13684,0.2540904777,0,
32,Female,5,55,186,48510,0.28773918600000000,0,1.0
30,Male,5,29,66,39122,0.3039204117,0,1.0
54,Female,5,40,115,59197,0.36041707690000000,1,1.0
27,Female,5,48,175,68687,0.36128336900000000,1,1.0
26,Female,5,0,30,12730,0.3614676282,1,
41,Female,5,40,143,72508,0.3618783406,1,1.0
21,Male,5,32,103,60228,0.3840045647,0,1.0
26,Male,5,42,163,84140,0.3911534981,0,1.0
29,Male,5,18,60,45727,0.45778813560000000,1,1.0
32,Male,5,39,145,66738,0.4994601747,0,1.0
27,Female,5,44,135,43178,0.5086875102,1,
18,Male,5,0,53,2667,0.5315402914,1,
23,Female,5,54,202,46949,0.5916482747,0,1.0
16,Female,5,44,158,2441,0.7494333417,1,
28,Male,5,40,141,61964,0.7667138246000000,0,1.0
23,Male,5,52,187,81147,0.8032598388,0,
55,Male,5,0,0,9579,0.8791977191,0,
54,Male,5,27,102,46553,0.8923990059,1,
17,Male,5,21,44,1617,0.9486521215000000,1,
18,Male,5,60,206,4702,0.9488707831000000,1,1.0
20,Male,5,29,46,13971,0.9494010669000000,1,1.0
33,Female,5,32,102,51835,1.023870029,0,1.0
31,Female,5,33,122,45816,1.062239272,0,1.0
64,Female,5,21,53,65715,1.0651840610000000,0,
26,Female,5,34,72,70332,1.203701922,1,1.0
23,Female,5,19,76,28708,1.2861596000000000,0,1.0
26,Male,5,37,112,29155,1.2910560770000000,0,
51,Male,5,59,199,78325,1.292852793,1,1.0
55,M,5,0,25,14353,1.297461685,1,1.0
38,Male,5,30,96,38700,1.33502867,1,
50,Female,5,20,71,56644,1.4095650770000000,0,1.0
41,Female,5,47,165,133258,1.428970038,1,1.0
17,Female,5,45,145,5714,1.48749092,1,1.0
56,Male,5,48,175,59822,1.553862786,0,
43,Female,5,41,142,79305,1.563648181,1,1.0
36,Male,5,27,65,25688,1.57592956,1,
16,Female,5,41,153,6347,1.6113683110000000,1,1.0
24,Female,5,50,156,43144,1.662766322,1,1.0
55,Male,5,27,70,27526,1.664940461,1,1.0
47,Female,5,0,0,14332,1.8360731070000000,0,0.0
42,Male,5,32,75,59644,1.862299191,0,1.0
48,Male,5,0,0,18954,1.86446341,0,
25,Male,5,31,109,28965,1.8737372960000000,0,
51,Female,5,0,41,42764,1.87614454,0,
25,Male,5,19,64,66182,1.882812419,1,
57,Male,5,20,47,30303,1.893106094,1,1.0
27,Female,5,42,158,48287,1.9502169980000000,1,1.0
43,Male,5,37,122,42927,1.975203791,1,1.0
23,Female,5,29,111,66990,2.147042664,1,1.0
67,Female,5,32,83,31970,2.394355755,1,
19,Male,5,30,93,12033,2.4938069920000000,1,
42,Male,5,45,166,55019,2.51596978,1,1.0
42,Female,5,0,35,37526,2.580120251,0,1.0
20,Male,5,45,142,12039,2.640330468,1,
37,Female,5,34,127,58144,2.6941786060000000,1,1.0
22,Male,5,34,113,65922,2.80994551,0,1.0
56,Male,5,51,199,52894,2.897947887,0,1.0
19,Male,5,49,175,14937,2.97526153,1,1.0
23,Female,5,38,147,53371,3.017867142,0,
23,Female,5,37,63,10776,3.03931546,1,
16,Female,5,52,204,6957,3.108047348,1,
48,Male,5,19,22,12399,3.2216773540000000,1,
23,Female,5,31,109,57644,3.223153494,0,
36,Male,5,32,101,56039,3.223584522,0,
49,Female,5,36,126,51413,3.224240134,0,1.0
54,Male,5,32,95,43637,3.2978530010000000,1,
23,Male,5,39,150,68362,3.3473345080000000,1,
27,Female,5,42,158,84689,3.364248489,1,1.0
24,Female,5,32,106,60461,3.57838659,0,
57,Male,5,46,148,40207,3.734441281,1,
28,Male,5,51,155,51162,3.9843291560000000,0,1.0
18,Female,5,0,0,10336,4.023593655,1,
48,Male,5,60,193,55374,4.051335632,0,
22,Male,5,39,140,81015,4.091573497,0,
40,Female,5,18,29,31811,4.095357114,0,
25,Female,5,41,65,37269,4.150332714,0,
33,Male,5,38,123,40271,4.320751872,1,
47,Female,5,28,95,32980,4.370066568,1,0.0
33,Female,5,43,163,55905,4.502544246,0,1.0
64,Female,5,0,52,33657,4.5704788690000000,1,
29,Female,5,0,39,17454,4.702136374,0,0.0
24,Male,5,0,53,24392,5.042980002,1,
23,Male,5,48,145,51478,5.142996805,1,
57,Male,5,0,30,21038,5.253790988,1,
32,Female,5,47,144,39144,5.4051284490000000,0,
25,Male,5,37,118,65249,5.441949002,1,
19,Female,5,42,158,14454,5.471412723000000,1,
29,Female,5,38,130,43662,5.791980232,1,1.0
66,Female,5,0,52,55227,5.984716485,0,
23,Female,5,45,122,78030,6.026889354,1,1.0
49,Male,5,34,79,50467,6.231551304,0,0.0
25,Female,5,16,24,11088,6.2414026280000000,0,0.0
67,Male,5,41,151,182058,6.288699987,1,
52,Male,5,48,185,41582,6.520663548,0,1.0
38,Male,5,0,0,18467,6.524655275,0,0.0
24,Female,5,62,205,55772,6.583449315,1,
54,Female,5,31,48,28107,6.717171995,1,0.0
33,Female,5,34,96,78058,6.723240672,0,
33,Female,5,28,103,34486,7.355393556,0,1.0
24,Male,5,31,120,53144,7.569241105,1,1.0
58,Male,5,32,89,36097,7.81210855,1,0.0
45,Female,5,0,0,10201,7.875805944,1,0.0
30,Male,5,40,150,113508,8.174177386,1,1.0
53,Female,5,22,58,31003,8.438063155,0,0.0
28,Male,5,52,176,52103,8.525892917,0,1.0
24,Male,5,25,64,28498,9.074018709,0,0.0
25,Male,5,19,37,17695,9.280160115,1,0.0
23,Female,5,38,135,57822,9.517477409,0,0.0
32,Male,5,44,174,45644,9.636763898,0,1.0
28,Male,5,36,133,43674,10.20143178,1,0.0
55,Male,5,39,114,53585,10.35565603,1,0.0
29,Female,5,20,74,29799,10.45506767,0,0.0
45,Female,5,61,201,80260,10.47634065,0,1.0
54,Male,5,44,116,44077,10.69388912,1,0.0
63,Male,5,33,117,43081,10.75519423,1,0.0
20,Female,5,41,159,12522,10.87156648,0,
90,Male,5,39,170,15098,10.89156648,0,1.0