Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6159,6178,6428,6757,6869,6973,7116,7439,7853,7270,7439,7342,7378,8377,,,,,,,,
Afghanistan,,,,,,,,,,,116174,134069,153060,165346,172797,185723,204889,223379,238674,,293308,332935,178423,,198337,206381,187745,,205392,202572,182340,281928,,332170,497762,512851,,,,,,362415,,406895,594306,651453,1006841,1035782,1425009,1716190,2044157,2208963,2415884,2538420,2602734,2651459,2725421,2899453,3063889,,
Angola,,,,,,,,,,,,57829,67230,79055,,,,,105368,,143556,190702,139784,131918,170545,151759,178910,179338,156200,178868,171156,187436,218987,,,,,,291708,300480,354984,413695,461825,,,,,,646180,711232,850334,884982,,,,,2034150,,,,
Albania,,,,,,,,,,,,,,,,,396099,,415601,428218,440617,447501,428750,405293,408591,426837,446794,449699,459880,465958,475074,478285,404904,362439,350912,349430,346945,350157,359509,363502,365664,377936,382205,396095,393503,407403,408980,410444,406553,354587,355871,355158,349269,346365,333291,315079,294315,280378,268872,256072,
Andorra,,,,,,,,,,,,724,723,698,890,1339,1753,,,,,,,2516,,,,,,,,,,,,,,,,,,,3132,3194,3250,3737,3843,3819,3851,3914,4059,4159,4208,4239,4319,4395,4425,4492,4513,4567,
Arab World,,,,,,,,,,,4882864,4988196,5279066,5603844,5951606,6451998,7025481,7613228,8264846,8873104,9445859,10100000,10700000,11300000,12000000,12700000,13600000,14200000,14700000,15000000,16400000,16500000,16600000,17200000,18400000,18900000,19400000,20400000,21500000,22400000,23400000,24300000,25200000,26800000,27800000,28100000,28200000,28500000,28900000,29600000,30200000,31300000,31800000,31300000,30900000,31400000,31700000,32200000,32900000,33700000,
United Arab Emirates,,,,,,,,,,,,4622,5905,6422,6210,7971,12562,16244,18905,22668,27264,32362,39868,45957,51892,56733,62082,68259,76404,85586,95669,107881,118011,129683,145143,159840,,180764,190576,,,,,,,,,,,,,,,,,,441510,528480,,,
Argentina,,,,,,,,,,,976979,1011566,1061616,1125715,1197729,1243058,1283056,1288107,1293073,1296839,1326680,1366444,1425648,1466424,1635654,1800049,1848815,1897711,1974119,,2160410,2263263,,,2307821,,2594329,2463608,3201468,3665865,3829421,3904915,3905207,3902011,3919748,3884317,3872929,3897005,3963715,4106048,4213136,4279426,4346391,4406046,4450741,4501734,4583002,4612663,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394879,394701,402394,343096,,330577,334922,347474,351392,409423,393420,,,373693,369736,362542,345830,318606,313249,305765,255835,,252428,244543,240291,,,234983,248972,
American Samoa,,,,,,,,,,,,,2305,2484,2392,2373,2500,2602,2679,2679,2679,3000,2960,2999,3051,3287,3342,3295,3210,3335,3437,3565,3643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,7248,4996,6904,6430,6827,6927,5706,,,,,,,,,,,,,,5845,,,,,,,,5276,,,,,,,7838,8628,8557,8436,8449,8383,,8077,8048,,7839,7856,,
Australia,,,,,,,,,,,1136960,,,,,,,,,,,,,,,,,,,,,,,2029407,2003504,2182085,2280274,2367692,,,,,,,,,,,,,,,,,,2709319,2662318,2650486,2379962,,
Austria,,,,,,,,,,,,775335,,,,,914475,,,,,937484,907378,893143,864510,850653,847188,818885,790819,764145,753964,746272,756385,768176,778006,786156,791453,793485,741558,747681,748659,749135,755581,764426,770391,781292,782981,777792,770792,762981,743709,723523,709910,706501.625,697388.4375,691071.25,687126,687361.75,687386.125,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,1008831,,,,,930557,,,902723,867185,867386,880096,887952,873936,877809,805382,819625,,,,,,,,,,,,,,,,,,,,,945226,967454,
Burundi,,,,,,,,,,,,8169,8678,7868,9926,12297,13623,13736,14891,15886,16410,19013,20398,19917,21424,23984,25939,29027,31045,34899,38194,44207,48398,55713,,,,,,,,113427,122469,129204,152251,171110,192296,209945,,288956,337577,381041,420117,490858,583308,664243,723357,665116,674855,650269,
Belgium,,,,,,,,,,,,723703,752093,769865,784654,788773,795203,811608,832600,840326,839002,835524,835177,818611,825108,827839,824997,812991,805647,794023,781488,769438,765672,1040586,1053445,1061790,1058998,,,1033484,1057536,1125256,1149329,1176372,1143982,1200324,1218946,1220793,1221848,1206211,1202775,1190846,1191573,1206574,1210112,1217912,1196383,1186830,1179334,,
Benin,,,,,,,,,,,,17889,22132,27992,33397,40088,43123,47370,53519,59461,69982,89969,106908,126485,123884,120582,107172,102171,,,,,,,,,,,,213474,229228,256744,287292,312427,344890,,,,,,,723727,,868990,896763,963787,992999,,,,
Burkina Faso,,,,,,,,,,,,10717,11179,12132,14416,15470,16227,18081,19319,21018,25113,27539,31398,32605,35966,43843,53565,62582,72207,84511,91022,98929,105542,115753,125191,,,,,173205,189689,199278,,236914,266538,295412,319749,352376,423543,467658,537988,604168,676337,762445,841886,965550,1058163,1162297,1281007,1342143,
Bangladesh,,,,,,,,,,,,,,2265469,,,2183413,2238186,,2349920,2659208,2407888,,2959437,3111267,3125219,3136454,3272858,3340120,3406520,3592995,,,,,,,,9133579,9912318,10329065,10690742,11024326,11051234,10354760,10109395,10250862,10444714,10036889,10907065,11334055,11542964,12187154,13314077,,14566771,15787818,15314757,15869820,15710974,
Bulgaria,,,,,,,,,,,,843894,845445,848718,854039,856582,809823,828214,809785,782951,782819,785615,792343,802465,809919,828736,887929,907595,930465,940260,910101,896343,864882,822109,778739,771800,756549,733362,711634,699957,696073,695474,693289,707251,704678,685640,662510,633343,593321,554835,531980,523355,503786,519569,518914,501398,487087,485586,489665,,
Bahrain,,,,,,,,,,,,13652,14432,15423,16832,18074,18617,19554,21485,22853,24233,26528,28710,33629,33476,35901,38577,39951,40540,41038,40238,47005,48600,51513,54193,56057,57222,57184,58547,58664,61058,62221,64439,67160,69638,71645,73767,,77928,79162,79919,81857,83141,88866,90092,92454,95666,97733,99026,102003,
"Bahamas, The",,,,,,,,,,,,21422,22536,23317,26351,29438,30610,,,,30224,28136,27731,27649,29496,27147,27604,29765,,,26835,26861,29559,29863,28532,28435,,27970,,26614,,,31713,,30857,32089,32709,34217,34399,34274,34406,32973,33351,29939,31681,25766,28384,30740,26884,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333304,338971,334355,322766,316241,313321,309015,297460,278071,263010,253070,247714,240189,
Belarus,,,,,,,,,,,,809800,844640,871880,892797,889777,879169,858677,833331,808000,783900,756500,733900,720800,713700,713100,716200,720300,720700,720400,711700,968200,968200,970300,993900,1024600,1055200,1064700,973500,,,,,,,,,,880231,822899,762616,722508,693047,660837,648541,644153,644344,644334,649357,,
Belize,,,,,,,,,,,,,,,,,,,,,12259,12248,12229,,,,14647,15505,,,,16550,,,19751,20226,,,,21659,23235,24395,,27880,29082,29185,30084,30475,31120,31721,32780,33614,35391,36778,37095,37856,41046,39756,40353,40641,
Bermuda,,,,,,,,,,,,4268,4352,4732,4539,4700,4824,5393,5269,5261,5324,,,,,,,,,,,,,,,,,,,,,4566,4565,4660,4803,4756,4518,,,,4418,4320,4224,4175,4093,4040,,,,,
Bolivia,,,,,,,,,,,159580,173709,195664,205425,,251074,,,,,,,,,,,,,,,,,,,,,,,756213,829759,800107,846804,914919,961699,1010459,1038195,1043127,1052014,1059641,1054878,1135844,1114449,1153850,1189580,1208552,1233875,1243485,1235538,1233738,,
Brazil,,,,,,,,,,,4086073,4562126,5598583,6058379,8012497,8614147,9403986,10102668,10521905,,,,,,,10454336,,,,,,,,,,,,,,,,,26789210,24592568,25155104,24863112,,23423870,23645668,23616942,23538716,23399408,23134072,24881382,24224944,23501784,23538072,23118180,22863908,,
Barbados,,,,,,,,,,,,27593,28353,28738,27585,29724,29025,28677,30021,29446,29816,28818,27787,27640,27715,28695,,,,25422,24004,,,,,,,,,21841,21016,20866,20872,20947,21300,21418,20855,20651,20337,19928,19497,19696,,,20603,20554,20370,20249,19571,19121,
Brunei Darussalam,,,,,,,,,,,10974,11801,12765,13145,13704,14614,15946,16005,16410,16891,17441,17869,18734,19940,19904,20462,20295,,,,,25699,26836,28210,28851,,,,32663,34426,35209,36986,38692,40022,42167,43900,45887,46173,46826,48119,48724,49916,52396,51738,49009,47249,45589,44464,44079,42679,
Bhutan,,,,,,,,,,,714,852,1059,,1788,,,1536,,,,,4408,5298,5872,6094,,,,,,,,,,,,,18334,21507,25241,29115,,,,42144,45109,49011,52098,56543,60036,62768,66072,68775,74227,74320,74393,75444,76221,,
Botswana,,,,,,,,,,,5197,6210,7195,10629,12245,14286,16275,17896,18977,19538,20969,22962,,25010,30902,36144,39713,42952,44194,53849,61767,77998,80358,90658,91862,111134,,,153442,157804,163001,163354,166089,167919,171488,173027,176902,178314,168220,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,11279,14110,16347,18291,20019,23011,24844,30554,32514,38500,45211,54400,55368,,58104,59273,50690,46258,45340,49147,50930,43740,,,,,,,,,70162,71893,,,,,,,93341,,126017,125907,,,,118883,137844,,,
Canada,,,,,,,,,,,,2527143,2582284,2595716,2579041,2596732,2589862,2587871,2544408,2474183,2388308,2323228,2340255,2321381,2323105,2287746,2250941,2238224,2242938,2249305,2254654,2292497,2337513,2402531,2455427,2469552,2505389,,2564963,2511517,2519080,,,,,2601926,2632432,2657320,2668134,2657932,2611619,2583789,2734631,2697507,2661089,2641675,2640933,2653009,2654199,,
Central Europe and the Baltics,,,,,,,,,,,10300000,10300000,10300000,10200000,10100000,10000000,9835285,9756471,9650572,9586000,9597499,9740574,9892637,10000000,10200000,10500000,10700000,11000000,11300000,11500000,11600000,11300000,11000000,11200000,11100000,11000000,11000000,11000000,10900000,10900000,11000000,11000000,11000000,11000000,10400000,10200000,9907072,9534141,9236725,8875275,8599326,8316816,8008284,8168669,7865953,7626223,7431888,7347827,7291400,7302246,
Switzerland,,,,,,,,,,,,,,,,,,,626312,640872,653294,661315,663054,661969,659858,649958,634750,618667,603541,588545,577406,567396,562465,558487,564705,561716,559924,,538775,544433,549369,553618,550317,555505,563701,574783,584073,592454,598957,601033,605184,605000,606162,617000,,614470,609783,608845,608878,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,590130,689305,764393,823613,848773,848408,863413,903617,933204,967455,969693,979454,982337,1051593,1089719,1133670,1153246,,1196815,1165721,1117511,1386860,1390586,1110657,,,,,1245787,1304679,1391283,,1496937,1557120,1594966,1630099,1633868,1611631,1588836,1528200,1518224,1493033,1443554,1571374,1556372,1546323,1530162,1520724,1522145,,
China,,,,,,,,,,,20253372,26482476,31493670,36166904,34946780,37137884,45368416,59055676,68488200,66371588,60248276,56777808,50145904,47027980,46865160,49236900,51663800,54108600,55062400,53621700,51799200,52385600,53690000,55100000,55548100,58941484,63800416,68275440,,77436272,81487960,86516712,90722792,95624760,,,101195120,101830968,101448264,100392464,99218080,97452464,95004208,94324416,88691792,86127200,83956320,83407928,84321856,86101696,
Cote d'Ivoire,,,,,,,,,,,,69714,80605,92101,94292,104730,119482,130102,147563,168971,197248,221940,,242126,251417,266801,,284925,,,,,,,,,,,,591549,,,,,,,,,,,,,,,1418361,1587348,1727227,1898243,2040520,2227143,
Cameroon,,,,,,,,,,,,76461,87284,99970,111038,126654,143812,163810,183179,198616,212860,234090,248786,273660,296538,328423,343720,386867,416764,439365,457161,500272,534451,,550480,550648,,549569,587611,642781,699669,848276,759804,823068,751580,784203,698444,976910,1127691,1268655,,1574451,1713452,1812849,2000076,2108279,2206878,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,248318,297028,324966,335221,446644,511481,599412,704332,830429,845577,861774,879057,897468,917052,937859,959934,983334,1066351,,,,1097095,1218760,1341446,1514323,,,,,,,,,,,,2815175,3129488,3398550,3484459,3782945,3894024,3995631,4388456,4618895,,,,,
"Congo, Rep.",,,,,,,,,,,,34267,42066,54893,72517,87968,102110,122006,136642,149386,159218,187585,206299,209715,201583,202908,222633,235050,226952,200537,181979,182967,191459,,212850,,214650,,,,,,194101,204096,235294,,,,,,,,339250,,,,,,,,
Colombia,,,,,,,,,,,750055,837458,916165,1159996,1284347,1370567,1490779,1616111,1633635,1691356,1733192,1768124,1816628,1816599,1889023,1934032,2136239,2187752,2235284,2282816,,2377947,2686515,2829435,2935830,3025350,3252128,,3549368,3589425,3568889,,3723348,,4050525,4297228,4509406,4684033,4772189,4992062,5079732,5130778,4903462,4910024,4827962,4793963,4784912,4784846,4821029,,
Comoros,,,,,,,,,,,,1273,,2623,3197,,,,,,,13798,,,,,21056,21168,,,,,15878,,17637,,,,,28718,,,33874,38272,42919,,,,,,,,,67764,70234,,,67445,73695,,
Cabo Verde,,,,,,,,,,,,,4096,,,,,,,,3129,3341,3691,,4465,,,5675,6413,6891,7866,,,,14097,,,,,,44715,44748,48055,49522,49790,52671,61465,60783,61906,60769,61677,62222,61956,62297,59823,58657,57730,56469,53355,,
Costa Rica,,,,,,,,,,,61068,67688,77828,94490,106511,111538,116037,121202,,134350,135830,133909,130347,122836,117412,112531,114655,116928,118357,123052,130553,139303,151513,160291,169777,179440,183162,192678,227328,254597,255643,280341,288965,,339763,347244,374428,377924,380813,405584,413686,419453,427760,447280,460235,460252,462855,467513,476668,504316,
Caribbean small states,,,,,,,,,,,365982.7,371206.2,392300.3,406987,411492.1,469328.5,499403.8,515339.9,529988.8,540665.5,560502.3,539008.9,538033.3,540386.4,538114.6,550635.1,558170.9,560201.5,566971.3,555660.1,558679.8,563966.3,562198.8,554131.8,572960.3,596238.8,623031.2,642480.7,564655.6,575260.3,582024.6,588190.4,585007.4,581025.8,594759.5,600728.5,608115.9,613560.7,618921.4,620437.2,616561.1,617211.3,600319.7,580970.9,574469.8,561015.4,567061.4,553628.6,545549.7,546311.4,
Cuba,,,,,,,,,,,,272526,252801,285274,348684,449041,629398,806049,818346,936088,1127591,1146414,1158151,1116930,1140917,1144790,1156555,1153659,1143137,1127035,1073119,1002338,912165,819712,725800,674152,704601,712897,,739980,789927,836642,895742,938047,932338,937493,928342,898833,865602,826088,808904,797860,784466,787297,830375,825055,826759,815786,795057,771999,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11219,,,,,,,
Cayman Islands,,,,,,,,,,,,,907,1187,1340,1556,1495,1558,,,1446,2075,,,,,,,,,,,,,,,,,,2151,2342,2337,2341,,2701,2824,2899,3010,3198,,,3246,3302,3387,,,,,3476,,
Cyprus,,,,,,,,,,,,42305,45041,48069,49668,46800,49373,50633,49358,48886,48797,47599,48881,48527,49274,48752,46159,44308,42191,42613,43219,44614,47908,51641,54687,57804,59845,61266,,63050,63677,64065,63871,64711,64534,64293,64714,64853,64966,64557,63662,62894,61801,60793,58634,57161,55711,55212,54966,,
Czech Republic,,,,,,,,,,,,1025567,1000466,974907,956646,960085,980311,1001695,1013162,1021962,1021020,,1148591,1136748,1117289,1138810,1160863,1227253,1237801,1285595,1287458,1267699,1201149,1200260,1189988,1193245,1190725,1067160,956551,928467,957763,1004130,998608,1000493,982208,975284,966280,937026,903691,868328,836847,805253,777216,801314,781392,770437,765502,772457,787114,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7398011,7500078,7933806,8070103,8152297,8260674,8382335,8080886,8185146,8307277,8387525,8465150,8446559,8381930,8267636,8184604,7981848,7907105,7740935,7663755,7528270,7392963,7289386.5,7201072,7112949.5,7073164,7028712.5,6948797.5,,
Djibouti,,,,,,,,,,,,1385,1841,1674,1920,2158,1994,,,3774,4472,5133,5543,5932,6331,6617,7041,8003,8136,8902,9152,9513,10026,9740,10384,11384,11860,13311,,15511,15812,18808,20516,,26549,30142,30265,34972,41159,44481,,50965,55082,57155,58553,59483,61284,60772,65144,65499,68493
Dominica,,,,,,,,,,,,,,6649,6566,6379,6487,6516,6342,6779,,,,,7562,,7370,6308,,,5634,,,,,,,,,7126,7429,7456,7500,7724,7477,7476,7475,7481,7309,7214,6766,6507,,,5663,5561,,,,4863,
Denmark,,,,,,,,,,,,407103,,,,,,,452625,467879,486692,498944,498462,495950,486541,483859,487526,488775,485842,483502,474908,464555,455639,448596,445746,444682,438809,,423986,422399,426149,441523,434517,446863,449750,464952,463617,475140,484199,493144,504205,519115,527851,555278,553791,553263,540622,534080,531247,,
Dominican Republic,,,,,,,,,,,,126261,141070,161727,176727,191095,260133,279314,298293,318905,337511,356091,379377,,480387,,463511,,,,,,,,425216,454561,,,585230,610519,653558,,757790,,782690,808352,,920494,909331,934126,904527,898690,905616,919763,931068,929493,928854,924737,924714,940592,
Algeria,,,,,,,,,,,,242335,299280,343393,384001,429684,509258,612229,741961,844291,933335,1028294,1154709,1297490,1452389,1611744,1823392,1975853,2082646,2111292,2162469,2175580,2232780,2305198,2412079,2472569,2544864,2618242,,2984927,2994258,3188826,3352340,3455930,3604785,3654232,3664852,3724095,3984536,4576166,4616226,4572513,,,,,,,,,
East Asia & Pacific (excluding high income),,,,,,,,,,,30700000,37500000,43100000,48400000,47800000,50700000,60100000,74600000,85100000,84400000,79300000,76700000,71000000,69200000,69600000,73100000,76500000,80600000,82100000,80900000,78400000,79300000,81400000,83700000,85600000,91200000,98100000,104000000,110000000,116000000,120000000,126000000,131000000,138000000,143000000,144000000,146000000,149000000,148000000,148000000,148000000,147000000,145000000,145000000,142000000,140000000,138000000,140000000,143000000,145000000,
Early-demographic dividend,,,,,,,,,,,44600000,46000000,48600000,51200000,53700000,56700000,59700000,62900000,66300000,69900000,74000000,77700000,82700000,88900000,93800000,98900000,104000000,108000000,112000000,115000000,121000000,127000000,134000000,141000000,147000000,152000000,158000000,164000000,169000000,172000000,180000000,185000000,193000000,202000000,208000000,213000000,219000000,228000000,234000000,238000000,247000000,258000000,266000000,271000000,283000000,287000000,293000000,293000000,300000000,300000000,
East Asia & Pacific,,,,,,,,,,,38300000,50100000,56100000,61600000,61300000,64700000,74400000,89400000,100000000,100000000,95200000,93200000,87900000,86500000,87400000,91500000,95500000,99900000,101000000,100000000,97300000,97900000,99600000,102000000,104000000,109000000,116000000,119000000,127000000,132000000,137000000,142000000,147000000,153000000,158000000,160000000,161000000,164000000,163000000,164000000,163000000,162000000,160000000,160000000,156000000,155000000,152000000,154000000,156000000,157000000,
Europe & Central Asia (excluding high income),,,,,,,,,,,35500000,36000000,36500000,36800000,36800000,36700000,36400000,36000000,35400000,34700000,34000000,33400000,33200000,33200000,33500000,34200000,35000000,35600000,36100000,36400000,36400000,36700000,36600000,36600000,36600000,37400000,37700000,38200000,38700000,39600000,40200000,41100000,41200000,40700000,39000000,37400000,36500000,35600000,34200000,33700000,33400000,33100000,32600000,34900000,35000000,34800000,35100000,35800000,36200000,36900000,
Europe & Central Asia,,,,,,,,,,,75200000,76100000,77500000,79000000,80400000,81000000,81500000,81900000,81900000,81600000,81300000,80900000,80600000,80500000,80500000,80900000,81900000,82200000,82200000,82000000,81700000,81600000,81600000,83100000,84100000,84600000,84300000,84500000,83900000,85000000,85700000,86900000,87100000,86500000,83900000,82400000,80800000,79300000,77700000,76700000,76400000,75200000,74200000,78600000,78300000,77800000,77800000,78600000,78900000,79700000,
Ecuador,,,,,,,,,,,,216727,239557,267422,299456,336702,383624,425765,461115,498165,540639,591969,634933,672575,655219,715082,730226,750018,771928,,792297,785844,811666,814359,,,806096,,866606,903569,917245,936406,966362,972777,996535,1053175,1103258,1141866,,1571052,1655274,1749833,1822637,1882586,1942230,1932353,1929522,1903418,1891648,,
